Optimizer,Loss Score,Sparsity Score,Stability Score,Convergence Score,OVERALL SCORE
adafactor,65.96443907162703,59.11063340132253,40.5006427246533,93.81752145664731,61.25815605612774
stable-spam,65.96730031904988,62.09179059239862,1.0,95.04607778344632,54.52528959735161
lion,64.86724280039783,59.78617174246786,14.519518186865561,76.76869918998727,54.20946864637483
adagrad,59.60308043805577,43.193925614192096,74.41177690049105,22.950621040191837,53.15636960240414
adabelief,66.41227831063286,27.458548372274503,63.69049826307047,71.14957672278832,52.7078466639105
adam-mini,61.82545840188289,55.78300031719408,6.368993488977523,91.08894383580106,51.54565363305255
lamb,60.06390431900331,11.978728627307099,99.0,51.699561671356875,50.18487769834433
spam,33.222326648773404,54.77680524034824,56.65624162386408,42.62469236975388,46.39341372294078
galore,32.94297786399241,54.32817666267013,56.57635525458198,42.655984811538026,46.125773616402086
adamem,30.073125666208156,50.001198728080375,54.4266107855898,50.0,43.91133569511895
adamw,30.07156403340765,50.0,54.42580832743169,50.00068041767507,43.91027711894652
came,50.0,58.64358321766038,28.21734149375337,1.0,43.76872242493181
8bit,30.027787081939607,49.976844787927554,48.590727648331686,49.865152740306414,42.706281958150484
adam,33.23626177468445,49.50985356835023,47.38952433751781,35.36160565099742,41.97520580266544
adadelta,44.37918053827055,1.0,99.0,11.133547259173902,36.79606791431208
sgd,57.89617240948266,10.970691326025182,20.791623070790813,45.493278639718866,32.81105478555779
rmsprop,27.12507502150026,15.861863126328238,50.0,65.78131986856225,31.623560338596196
